(E:1, S:59) [loss = 0.4231 lr = 1.000000e-03] (0.778 samples/sec; 1.285 sec/batch)
(E:1, S:60) [loss = 0.5563 lr = 1.000000e-03] (0.783 samples/sec; 1.277 sec/batch)
(E:1, S:61) [loss = 0.5031 lr = 1.000000e-03] (0.786 samples/sec; 1.273 sec/batch)
(E:1, S:62) [loss = 0.5256 lr = 1.000000e-03] (0.791 samples/sec; 1.265 sec/batch)
(E:1, S:63) [loss = 0.4824 lr = 1.000000e-03] (0.798 samples/sec; 1.254 sec/batch)
(E:1, S:64) [loss = 0.5007 lr = 1.000000e-03] (0.803 samples/sec; 1.246 sec/batch)
(E:1, S:65) [loss = 0.4680 lr = 1.000000e-03] (0.807 samples/sec; 1.239 sec/batch)
(E:1, S:66) [loss = 0.4564 lr = 1.000000e-03] (0.811 samples/sec; 1.233 sec/batch)
(E:1, S:67) [loss = 0.4108 lr = 1.000000e-03] (0.816 samples/sec; 1.226 sec/batch)
(E:1, S:68) [loss = 0.4511 lr = 1.000000e-03] (0.819 samples/sec; 1.221 sec/batch)
(E:1, S:69) [loss = 0.4600 lr = 1.000000e-03] (0.822 samples/sec; 1.216 sec/batch)
(E:1, S:70) [loss = 0.4218 lr = 1.000000e-03] (0.824 samples/sec; 1.213 sec/batch)
(E:1, S:71) [loss = 0.3800 lr = 1.000000e-03] (0.828 samples/sec; 1.208 sec/batch)
(E:1, S:72) [loss = 0.3442 lr = 1.000000e-03] (0.830 samples/sec; 1.205 sec/batch)
(E:1, S:73) [loss = 0.3098 lr = 1.000000e-03] (0.832 samples/sec; 1.202 sec/batch)
(E:1, S:74) [loss = 0.2792 lr = 1.000000e-03] (0.834 samples/sec; 1.199 sec/batch)
(E:1, S:75) [loss = 0.3093 lr = 1.000000e-03] (0.835 samples/sec; 1.197 sec/batch)
(E:1, S:76) [loss = 0.3484 lr = 1.000000e-03] (0.836 samples/sec; 1.196 sec/batch)
(E:1, S:77) [loss = 0.3137 lr = 1.000000e-03] (0.838 samples/sec; 1.193 sec/batch)
(E:1, S:78) [loss = 0.3112 lr = 1.000000e-03] (0.840 samples/sec; 1.191 sec/batch)
(E:1, S:79) [loss = 0.4113 lr = 1.000000e-03] (0.841 samples/sec; 1.190 sec/batch)
