plcc,SROCC
0.42693346089255313,0.2761898976541036
0.40164687662278103,0.2615571529816746
0.37251404200257954,0.21389194032844852
0.3772672848771774,0.21731514950136296
0.34659039884207765,0.09861493603188179
0.42332774040681265,0.21914091180736184
0.4031171884342141,0.2063086276660416
0.4249803924583816,0.26176229385055155
0.32853542024994964,0.2824700308371119
0.16809762361631164,0.10736379564927238
0.0738983711365946,-0.04744355573554723
0.05529363209550902,-0.052911070725952476
0.05537773650263347,-0.11051994796105956
0.08314277836869009,0.01635128431069238
0.4402872227617128,0.23930343221626
0.0454138888813874,-0.11470140073752688
0.46944177277947746,0.3428368937936621
0.5167096584921992,0.3713292058830909
0.5159474798018144,0.3571327326111167
0.5101592293254609,0.35150527238109797
0.4936374854204594,0.28972360028348687
0.5113788588076704,0.3231143059633492
0.5202301523099049,0.3696586496891027
0.5142834011795351,0.35640557055012995
0.5163591630379226,0.36204679607804874
0.4994104830852916,0.3058535276617486
0.5020986610779281,0.3562417738179609
0.48900315885879,0.3766243627888837
0.4841902511762074,0.37367621747494184
0.4766842281568006,0.329998987546826
0.46768812866338194,0.3376733826060545
0.4699563596860288,0.3377543788599778
0.4813080769378221,0.3241267591373899
0.45411216400729726,0.22960413080895006
0.5793522703682168,0.37821200769464414
0.6448366178950183,0.46649792447099325
0.47944788375026115,0.3604535790219703
0.5684967326610993,0.3781734239869454
0.7002860586948276,0.5080085046066619
0.6680142184349475,0.4804900273362357
0.7227929812837648,0.5197885976635517
0.7009941892036113,0.5416219499848132
0.5094357568778258,0.37213728865039997
0.45838966045569074,0.22431912524045766
0.4990012550385334,0.3330768451959097
0.6800856561643196,0.481765718335527
0.6423095828046718,0.47400260202390304
0.45486023078700827,0.2918309802152419
0.5046953114748043,0.38404373797711855
0.4468793189580814,0.20526475650501164
