epoch,plcc,SROCC
1,0.35371873763673467,0.20743140629745874
2,0.47937190214273806,0.42470385744659306
3,0.6148283184086295,0.5252404576288346
4,0.5316056618220479,0.49330768451959095
5,0.4908980472452976,0.4377037562012758
6,0.39231653826151086,0.325746684215855
7,0.2871248233379439,0.29950389794472004
8,0.6331224915242712,0.5487091222030981
9,0.19372183148320044,0.08565353852384328
10,0.583392542531381,0.578680665597501
11,0.647430743473405,0.6587222840943607
12,0.5107364893088095,0.51268603827073
13,0.6860266444128758,0.6284904323175053
14,0.5527123241768812,0.462286119266984
15,0.5843736353616187,0.530646957578212
16,0.40259812601682443,0.40372582768046983
17,0.22520952617081197,0.10318922749822822
18,0.4804097988701713,0.4222537207654146
19,0.1443980201180616,0.08810367520502177
20,0.16329422832568435,0.07931558165434849
21,0.24041593970148442,0.15322466335931964
22,0.3800840620125881,0.33321858864027537
23,0.19413408085367936,0.08024703857446594
24,0.2589962815348954,0.22678951098511696
25,0.32896172853554345,0.3533664068036853
26,0.44562757749293397,0.3901184570213628
27,0.5288311461446334,0.4195605953224663
28,0.13136736991778913,0.06076743950592285
29,0.4433190231459358,0.41838614964057913
30,0.2780322797569312,0.2895413587121596
31,0.33467235848046784,0.2542472410651007
32,0.19585453170189146,0.187263339070568
33,0.29086822601362505,0.1732712362053255
34,0.32876370283824713,0.21079275083527388
35,0.33852374981395983,0.2223347170193379
36,0.23024083236573026,0.10252100840336134
37,0.39070972433232926,0.2629948364888124
38,0.3164662023447204,0.25874253315784146
39,0.1572565559893907,0.12394451756606258
40,0.23509994388213756,0.11758631163308697
41,0.18931104413338212,0.09701326313657993
42,0.2807907251419304,0.25062265870203504
43,0.14465742285841146,0.12198035840842363
44,0.2851403373357694,0.299726637643009
45,0.315005761097912,0.17432418750632783
46,0.4021794243639623,0.31511592588842763
47,0.3824809460634241,0.28591677634909385
48,0.09520112379082686,0.08551179507947758
49,0.2299957831260458,0.1362964462893591
50,0.32267838138669547,0.22403563835172624
