plcc,SROCC
0.42685141471429633,0.27643148948156915
0.4018733702587431,0.26189258830237516
0.3725585648477896,0.21389194032844852
0.377373538104261,0.21732527413561104
0.3466438677878662,0.09941630012367855
0.4241221596351221,0.21822968088596736
0.4030873248736152,0.20553915935850772
0.4255289722970341,0.2615686016465714
0.316083679909982,0.26511488989930726
0.1614142320790877,0.1199667912058167
0.07827212906847199,-0.052628115245239616
0.05909273216969517,-0.0745169308348661
0.030572606667154986,-0.07613840587651825
0.033587769318720664,-0.07205665716735625
0.03472116625420922,-0.013212580806997318
0.45034750703630433,0.30563936417940674
0.41192059889063914,0.2854105497620735
0.4539623277159106,0.3017834452982138
0.44768573137152234,0.3743362070322696
0.5065174034017673,0.3606763187202592
0.4985904561890213,0.36235699098916674
0.5145958811351193,0.37523539536296446
0.5142401459596425,0.37784752455198944
0.49009874971502576,0.3163223464774078
0.519475573798921,0.407735142249671
0.5229670136410305,0.3998906545087916
0.5143336157007115,0.37238027741216967
0.49493780261167464,0.4098815429786372
0.4991321860571523,0.40427255239445176
0.48794826927770474,0.3854409233572948
0.5076304890596578,0.36559684114609703
0.5096098160767656,0.4061152171712058
0.5185150275551647,0.4004049812696164
0.5008858555864771,0.4253923256049408
0.509622449814405,0.4183578938896063
0.498593739131592,0.38471195707198547
0.5098797774782893,0.3499038169484662
0.4891946601967048,0.30448516756100036
0.7028624438228668,0.43818973372481523
0.4895276499359331,0.29932165637339275
0.48543533955914375,0.2921939860281462
0.49336203395714323,0.28006479700313863
0.4902461596969808,0.31332546991122295
0.4914541585638347,0.3053963754176369
0.49803389603639947,0.33129492760959806
0.47109655039334086,0.3247139819783335
0.49558319925821825,0.34324187506327836
0.7265624087263356,0.4952515946137492
0.31395069468854253,0.24918497519489724
0.16219553977059586,0.2518173534474031
