epoch,plcc,SROCC
1,0.04041200655948793,-0.13135567480004048
2,0.6149368382126172,0.6490432317505316
3,0.6179285339556838,0.6243393743039385
4,0.4750898553240751,0.5916776349093854
5,0.5092856994248226,0.47494178394249276
6,0.6402245886340021,0.6266072694137896
7,0.6198589058914598,0.618507644021464
8,0.4979383161023519,0.298855927913334
9,0.496794020281197,0.29265971448820494
10,0.6464078861134029,0.5587931558165434
11,0.4749816151966297,0.4768046977827276
12,0.5110952538886081,0.32256758124936724
13,0.418318181247539,0.4360635820593298
14,0.5409731884684871,0.5429178900475854
15,0.5182593534590803,0.3050521413384631
16,0.5434338673545224,0.33560797813101145
17,0.5662893333152618,0.3849346967702744
18,0.5474994955711531,0.3472106915055179
19,0.705684204288311,0.5472511896324795
20,0.6447220067593565,0.5747899159663866
21,0.7037845561269058,0.5726435152374203
22,0.7055029392275952,0.5942087678444872
23,0.7220757267880322,0.6347676419965578
24,0.7078564503925461,0.6362458236306572
25,0.7122049904423241,0.6527083122405588
26,0.7056907633716899,0.6093348182646553
27,0.7125165439386658,0.623731902399514
28,0.7086571364016634,0.6400323985015693
29,0.6352973109835413,0.5724815227295738
30,0.6247482460286246,0.5887415207046675
31,0.5154053768490681,0.28731396172927004
32,0.6653235731120681,0.6127771590563936
33,0.6397436564957851,0.5685127062873342
34,0.5171415251900126,0.3145489521109649
35,0.5093489965877306,0.31770780601397186
36,0.5059837019425206,0.26888731396172927
37,0.6649239994518508,0.5876480712767034
38,0.5170770532708915,0.2651614862812595
39,0.6614936436759774,0.589328743545611
40,0.5165974686543968,0.2592703213069634
41,0.5164194924168504,0.25746684215855015
42,0.6657940742083155,0.588579528196821
43,0.649454434025614,0.5936620431305052
44,0.5162272474605036,0.2559684114609699
45,0.4676337073344074,0.5733117343322871
46,0.47345190074509974,0.5840437379771185
47,0.4678151426025385,0.5895312341804191
48,0.486457646557324,0.5742026931254429
49,0.5059660716680257,0.5924066011946948
50,0.5183749807955675,0.5863723802774121
